Prompt,Need input,Before detail,Full text,Prefix,Suffix,Quote,Default,Default input
역할,1,0,역할:,당신의 역할은 ,입니다. 아래의 상황에 대한 이벤트 광고 문구를 작성하세요.,0,1,마케팅 전문가
대상,1,0,대상:,이벤트의 대상은 ,입니다.,0,0,신규개설 고객
목적,1,0,목적:,이벤트의 목적은 ,입니다.,0,0,연금저축 가입 권유
포인트,1,0,포인트:,특별히 강조해야 하는 포인트는 ,입니다.,0,0,연 최대 99만원 세액공제(총 급여 5500 이하만)
분위기,1,0,분위기:,분위기는 , 작성하세요.,0,0,"힘차고 밝게, 새해 다짐 느낌으로"
형식,1,0,형식:,형식은 , 형식으로 작성하세요.,1,0,자유로운
드래프트 수,1,0,작성할 초안 수:, ,개의 드래프트를 생성하세요.,0,0,2
디테일 강조,0,0,이벤트의 디테일이 잘 드러나게 강조하세요., , ,0,0,
기대효과,0,0,작성한 결과의 기대효과를 추가로 나열하세요., , ,0,0,
키워드,1,0,키워드 추가,다음의 키워드를 추가로 활용하세요: ,.,0,0,"2024년 청룡의 해,"
Self-Evaluation,0,0,"또한, 목적에 맞춰 당신의 초안을 평가하세요",,,0,0,
예시,1,0,참고 예시 1:,다음은 참고할 예제입니다.  \n   ---  \n  ,.,0,0,…
예시2,1,0,참고 예시 2:,\n --- \n ,.,0,0,…
팁 제시하기,0,0,당신에게 30달러의 팁을 드리겠습니다,,,0,0,
감정에 호소하기,0,0,이것은 저의 커리어에 매우 중요한 일이므로 좋은 답변을 부탁합니다,,,0,0,
질문 Rephrase,0,0,"Given the above question, rephrase and expand it to help you do better answering. Maintain all information in the original question in Korean",,,0,0,
